"";"marca";"submarca";"vr";"mod";"trans";"comb";"cil";"pot";"tam";"cat";"r.Ciudad";"r.Carretera";"r.Comb";"r.Ajust";"CO2";"NOx";"GEI";"CA"
"2503";"PORSCHE";"911";"TARGA 4S 2PTS 3.8L 6CIL 400HP PDK INTEGRAL";"2016";"Dbl.Embrague";"Gasolina";"6";400;3,8;"AUTOS DEPORTIVOS";10,2;15,6;12,08;9,06;257;9;"5";"9"
"2504";"SEAT";"LEON";"FR 5PTS 2.0L 4CIL 211HP DSG TFSI TURBO";"2011";"Dbl.Embrague";"Gasolina";"4";211;2;"AUTOS DEPORTIVOS";10,1;16,67;13,66;10,25;228;10;"6";"9"
"2505";"SEAT";"LEON";"FR 5PTS 2.0L 4CIL 211HP DSG FSI TURBO";"2012";"Dbl.Embrague";"Gasolina";"4";211;2;"AUTOS DEPORTIVOS";10,1;16,67;13,66;10,25;228;10;"6";"9"
"2506";"FORD";"MUSTANG";"COUPE 2PTS 3.7L 6CIL 305HP MAN";"2016";"Manual";"Gasolina";"6";305;3,7;"AUTOS DEPORTIVOS";10,08;16,77;13,67;10,25;227;18;"6";"8"
"2507";"FORD";"MUSTANG";"2PTS 3.7L 6CIL 305HP MAN";"2014";"Manual";"Gasolina";"6";305;3,7;"AUTOS DEPORTIVOS";10,05;16,76;13,64;10,23;228;18;"6";NA
"2508";"SEAT";"LEON";"FR 5PTS 2.0L 4CIL 211HP MAN TFSI TURBO";"2011";"Manual";"Gasolina";"4";211;2;"AUTOS DEPORTIVOS";10;17,54;13,78;10,34;226;10;"6";"9"
"2509";"SEAT";"LEON";"FR 5PTS 2.0L 4CIL 211HP MAN FSI TURBO";"2012";"Manual";"Gasolina";"4";211;2;"AUTOS DEPORTIVOS";10;17,54;13,78;10,34;226;10;"6";"9"
"2510";"NISSAN";"370Z";"COUPE 3PTAS 3.7L 6CIL 332HP AUT";"2016";"Auto";"Gasolina";"6";332;3,7;"AUTOS DEPORTIVOS";10;15,3;11,85;8,89;262;12;"4";"9"
"2511";"CHEVROLET";"CAMARO";"2PTS 3.6L 6CIL 312HP AUT";"2011";"Auto";"Gasolina";"6";312;3,6;"AUTOS DEPORTIVOS";9,95;17,81;12,42;9,31;250;9;"5";"9"
"2512";"CHEVROLET";"CAMARO";"LT 2PTS 3.6L 6CIL 312HP AUT";"2012";"Auto";"Gasolina";"6";312;3,6;"AUTOS DEPORTIVOS";9,95;17,81;12,42;9,31;250;9;"5";"9"
"2513";"CHEVROLET";"CAMARO";"LT COUPE 2PTS 3.6L 6CIL 312HP AUT";"2013";"Auto";"Gasolina";"6";312;3,6;"AUTOS DEPORTIVOS";9,95;17,81;12,42;9,31;250;9;"5";"9"
"2514";"FORD";"MUSTANG";"V6 COUPE 2PTAS 3.7L 6CIL 300HP MAN";"2017";"Manual";"Gasolina";"6";300;3,7;"AUTOS DEPORTIVOS";9,94;16,42;12,09;9,07;257;18;"5";"8"
"2515";"PORSCHE";"911";"CARRERA 2 COUPE 2PTS 3.4L 6CIL 350HP MAN";"2013";"Manual";"Gasolina";"6";350;3,4;"AUTOS DEPORTIVOS";9,92;16,73;12,14;9,11;256;10;"5";"9"
"2516";"PORSCHE";"911";"CARRERA 2 CABRIOLET 2PTS 3.4L 6CIL 350HP MAN";"2013";"Manual";"Gasolina";"6";350;3,4;"AUTOS DEPORTIVOS";9,92;16,73;12,14;9,11;256;10;"5";"9"
"2517";"PORSCHE";"911";"CARRERA 2 COUPE 2PTS 3.4L 6CIL 350HP PDK";"2013";"Dbl.Embrague";"Gasolina";"6";350;3,4;"AUTOS DEPORTIVOS";9,92;16,73;12,14;9,11;256;10;"5";"9"
"2518";"PORSCHE";"911";"CARRERA 2 CABRIOLET 2PTS 3.4L 6CIL 350HP PDK";"2013";"Dbl.Embrague";"Gasolina";"6";350;3,4;"AUTOS DEPORTIVOS";9,92;16,73;12,14;9,11;256;10;"5";"9"
"2519";"PORSCHE";"911";"CARRERA 4 COUPE 4X4 2PTS 3.4L 6CIL 408HP MAN";"2013";"Manual";"Gasolina";"6";408;3,4;"AUTOS DEPORTIVOS";9,92;16,73;12,14;9,11;256;10;"5";"9"
"2520";"PORSCHE";"911";"CARRERA 4 CABRIOLET 4X4 2PTS 3.4L 6CIL 408HP MAN";"2013";"Manual";"Gasolina";"6";408;3,4;"AUTOS DEPORTIVOS";9,92;16,73;12,14;9,11;256;10;"5";"9"
"2521";"PORSCHE";"911";"CARRERA 4 COUPE 4X4 2PTS 3.4L 6CIL 408HP PDK";"2013";"Dbl.Embrague";"Gasolina";"6";408;3,4;"AUTOS DEPORTIVOS";9,92;16,73;12,14;9,11;256;10;"5";"9"
"2522";"PORSCHE";"911";"CARRERA 4 CABRIOLET 4X4 2PTS 3.4L 6CIL 408HP PDK";"2013";"Dbl.Embrague";"Gasolina";"6";408;3,4;"AUTOS DEPORTIVOS";9,92;16,73;12,14;9,11;256;10;"5";"9"
